3,5,1.0
3,6,1.0
3,8,1.0
3,9,1.0
6,9,1.0
10,11,1.0
8,12,1.0
9,12,1.0
3,16,1.0
6,16,1.0
10,16,1.0
12,16,1.0
13,16,1.0
3,17,1.0
12,17,1.0
8,18,1.0
16,18,1.0
1,19,1.0
3,19,1.0
5,19,1.0
9,19,1.0
16,19,1.0
18,19,1.0
14,21,1.0
16,21,1.0
3,23,1.0
9,23,1.0
12,23,1.0
13,23,1.0
16,23,1.0
3,24,1.0
6,24,1.0
16,24,1.0
21,24,1.0
22,24,1.0
15,25,1.0
3,26,1.0
13,26,1.0
16,26,1.0
24,26,1.0
5,27,1.0
16,27,1.0
3,28,1.0
8,28,1.0
9,28,1.0
13,28,1.0
16,28,1.0
19,28,1.0
21,28,1.0
1,29,1.0
4,29,1.0
13,29,1.0
16,29,1.0
23,29,1.0
27,29,1.0
28,29,1.0
3,30,1.0
9,30,1.0
16,30,1.0
18,30,1.0
1,32,1.0
3,32,1.0
14,32,1.0
17,32,1.0
21,32,1.0
23,32,1.0
15,33,1.0
21,33,1.0
24,33,1.0
29,33,1.0
32,33,1.0
3,34,1.0
5,34,1.0
6,34,1.0
8,34,1.0
10,34,1.0
15,34,1.0
16,34,1.0
17,34,1.0
22,34,1.0
23,34,1.0
24,34,1.0
26,34,1.0
28,34,1.0
29,34,1.0
30,34,1.0
33,34,1.0
23,35,1.0
34,35,1.0
24,36,1.0
6,37,1.0
34,37,1.0
35,37,1.0
34,38,1.0
3,39,1.0
6,39,1.0
9,39,1.0
10,39,1.0
12,39,1.0
15,39,1.0
16,39,1.0
21,39,1.0
26,39,1.0
30,39,1.0
32,39,1.0
34,39,1.0
3,40,1.0
8,40,1.0
37,40,1.0
6,41,1.0
8,41,1.0
9,41,1.0
10,41,1.0
13,41,1.0
16,41,1.0
26,41,1.0
28,41,1.0
30,41,1.0
37,41,1.0
3,42,1.0
6,42,1.0
39,42,1.0
3,43,1.0
6,43,1.0
9,43,1.0
13,43,1.0
15,43,1.0
16,43,1.0
19,43,1.0
26,43,1.0
28,43,1.0
30,43,1.0
34,43,1.0
39,43,1.0
3,44,1.0
10,44,1.0
15,44,1.0
21,44,1.0
27,44,1.0
30,44,1.0
32,44,1.0
41,44,1.0
3,45,1.0
10,45,1.0
23,45,1.0
25,45,1.0
16,46,1.0
24,46,1.0
26,46,1.0
27,46,1.0
29,46,1.0
30,46,1.0
16,47,1.0
19,47,1.0
23,47,1.0
24,47,1.0
9,48,1.0
32,48,1.0
39,48,1.0
14,49,1.0
16,49,1.0
25,49,1.0
27,49,1.0
29,49,1.0
34,49,1.0
9,50,1.0
41,50,1.0
41,51,1.0
48,51,1.0
3,52,1.0
6,52,1.0
8,52,1.0
15,52,1.0
16,52,1.0
21,52,1.0
26,52,1.0
29,52,1.0
30,52,1.0
32,52,1.0
33,52,1.0
34,52,1.0
39,52,1.0
41,52,1.0
42,52,1.0
43,52,1.0
44,52,1.0
9,54,1.0
16,54,1.0
17,54,1.0
21,54,1.0
34,54,1.0
39,54,1.0
3,55,1.0
6,55,1.0
8,55,1.0
9,55,1.0
13,55,1.0
14,55,1.0
16,55,1.0
19,55,1.0
21,55,1.0
23,55,1.0
24,55,1.0
27,55,1.0
28,55,1.0
29,55,1.0
30,55,1.0
32,55,1.0
33,55,1.0
34,55,1.0
37,55,1.0
39,55,1.0
41,55,1.0
42,55,1.0
43,55,1.0
44,55,1.0
45,55,1.0
47,55,1.0
48,55,1.0
52,55,1.0
54,55,1.0
32,56,1.0
3,57,1.0
20,57,1.0
21,57,1.0
49,58,1.0
55,58,1.0
13,59,1.0
15,59,1.0
26,59,1.0
46,59,1.0
55,59,1.0
17,60,1.0
46,60,1.0
52,60,1.0
57,60,1.0
23,62,1.0
24,62,1.0
52,62,1.0
57,62,1.0
3,63,1.0
14,63,1.0
16,63,1.0
17,63,1.0
21,63,1.0
24,63,1.0
27,63,1.0
29,63,1.0
32,63,1.0
34,63,1.0
42,63,1.0
44,63,1.0
52,63,1.0
55,63,1.0
62,63,1.0
23,64,1.0
